Radiant Cloud Giant Shaman
Ember Centaur Archer
Glacier Mountain Phantom
Obsidian Cyclops Berserker
Grave Cloud Giant Ravager
Sun Orc Guard
Radiant Gargoyle Ravager
Glacier Forest Construct
Radiant Ruins Drake
Warp Crypt Wyrm
Lava Gorgon
Warp Crypt Wolf
Wild Desert Dragon
Crystal Mountain Chimera
Vampiric Lizard Stalker
Warp Storm Giant Hunter
Thunder Cave Devil
Warp Fungal Knight
Iron Hill Giant Executioner
Venomous Reef Gorgon
Chaos Triton Assassin
Warp Tomb Drake
Ashen Dwarf Priest
Crypt Construct
Twilight Desert Stalker
Obsidian Dwarf Warden
Grave Troll Archer
Brimstone Ruins Crawler
Umbral Gargoyle Weaver
Ember Jungle Devil
Glacier Fire Giant Champion
Ember Ruins Horror
Radiant Orc Packleader	Orc Packleader
Iron Revenant Warden	Revenant Warden
Rune Glacier Dwarf Archer	Rune Glacier Dwarf
Arcane Jungle Stalker Assassin	Arcane Jungle Stalker
Arcane Elemental Vanguard	Elemental Vanguard
Arcane Frost Serpent Priest	Arcane Frost Serpent
Dark Sphinx Scout	Sphinx Scout
Ember Deep Sea Devil Ranger	Ember Deep Sea Devil
Blood Behemoth	Blood Behemoth
Ancient Cave Viper Necromancer	Ancient Cave Viper
Venomous Ocean Scorpion Ravager	Venomous Ocean Scorpion
Celestial Fiend	Celestial Fiend
Feral Ice Spider Hunter	Feral Ice Spider
Rune Stone Bugbear	Rune Stone Bugbear
Ember Ogre Ravager	Ogre Ravager
Blood Elemental Sorcerer	Elemental Sorcerer
Crystal Lizard Warrior	Crystal Lizard Warrior
Primeval Cavern Satyr Cultist	Primeval Cavern Satyr
Grave Ruins Panther Vanguard	Grave Ruins Panther
Plague Basilisk	Plague Basilisk
Lava Phoenix Assassin	Phoenix Assassin
Feral Crypt Leviathan Cultist	Feral Crypt Leviathan
Crystal Imp Priest	Imp Priest
Rune Forest Hobgoblin Hunter	Rune Forest Hobgoblin
Phantom Elf Raider	Elf Raider
Radiant Desert Elf Champion	Radiant Desert Elf
Ashen Desert Dwarf Cultist	Ashen Desert Dwarf
Vampiric Goblin	Vampiric Goblin
Magma Harpy	Magma Harpy
Tempest Jungle Orc Lord	Tempest Jungle Orc
Lava Fungal Knight	Lava Fungal Knight
Crystal Catacomb Construct Ranger	Crystal Catacomb Construct
Tempest Fungal Knight Sorcerer	Tempest Fungal Knight
Twilight Forest Phantom Hunter	Twilight Forest Phantom
Chaos Stone Revenant Archer	Chaos Stone Revenant
Skeletal Hill Giant	Skeletal Hill Giant
Chaos Troll Captain	Troll Captain
Infernal Fire Giant Scout	Infernal Fire Giant
Lunar Mountain Elemental Necromancer	Lunar Mountain Elemental
Chaos Deep Sea Ogre	Chaos Deep Sea Ogre
Primeval Fiend Captain	Fiend Captain
Void Cloud Giant Vanguard	Void Cloud Giant
Ashen Sky Devil Devourer	Ashen Sky Devil
Solar Volcano Golem Slayer	Solar Volcano Golem
Crystal Horror Berserker	Horror Berserker
Radiant Fire Giant Priest	Radiant Fire Giant
Ember Desert Centaur	Ember Desert Centaur
Void Phoenix Packleader	Phoenix Packleader
Nether Tiger	Nether Tiger
Mist Demon Priest	Demon Priest
Storm Wolf Rager	Wolf Rager
Ethereal Storm Bear	Ethereal Storm Bear
Thunder Ettin Vanguard	Ettin Vanguard
Lava Tomb Harpy Rager	Lava Tomb Harpy
Cursed Automaton	Cursed Automaton
Astral Ghoul Warden	Ghoul Warden
Sanguine Jungle Ogre Assassin	Sanguine Jungle Ogre
Thunder Dune Gargoyle	Thunder Dune Gargoyle
Sanguine Crypt Drake Vanguard	Sanguine Crypt Drake
Glacier Spider Rager	Spider Rager
Skeletal Crypt Wight Overlord	Skeletal Crypt Wight
Rune Gargoyle	Rune Gargoyle
Arcane Cloud Giant Devourer	Arcane Cloud Giant
Obsidian Fungal Knight	Obsidian Fungal Knight
Blood Cloud Giant	Blood Cloud Giant
Magma Cloud Giant Shaman	Magma Cloud Giant
Glacier Sky Basilisk Shaman	Glacier Sky Basilisk
Obsidian Cyclops	Obsidian Cyclops
Hellfire Kobold Cultist	Kobold Cultist
Ember Leviathan	Ember Leviathan
Feral Ogre Weaver	Ogre Weaver
Lunar Swamp Behemoth	Lunar Swamp Behemoth
Lunar Volcano Harpy	Lunar Volcano Harpy
Phantom Hill Giant	Phantom Hill Giant
Ethereal Tomb Wolf Lord	Ethereal Tomb Wolf
Plague Wyrmling Overlord	Wyrmling Overlord
Umbral Ice Orc Packleader	Umbral Ice Orc
Infernal Merrow Necromancer	Merrow Necromancer
Hellfire Vampire Archer	Vampire Archer
Celestial Abyss Goblin Executioner	Celestial Abyss Goblin
Sun Reef Vampire Cultist	Sun Reef Vampire
