Sturdy Giant Mushroom	Giant Mushroom
Abandoned Flower Patch	Flower Patch
Simple Dead Tree	Dead Tree
Enchanted Willow Tree	Willow Tree
Sturdy Rubble	Rubble
Abandoned Meteor Rock	Meteor Rock
Simple Rock Pile	Rock Pile
Enchanted Crystal Spire	Crystal Spire
Sturdy Meteor Rock	Meteor Rock rock
Castle Crystal Spire	Crystal Spire rock
Ruined Cliff Rock	Cliff Rock
Enchanted Rubble	Rubble rock
Sturdy Boulder	Boulder
Ancient Stalagmite	Stalagmite
Village Rock Pile	Rock Pile rock
Village Ore Vein	Ore Vein
Sturdy Standing Stone	Standing Stone
Ancient Boulder	Boulder rock
Enchanted Stalagmite	Stalagmite rock
Castle Cliff Rock	Cliff Rock rock
Sturdy Archway	Archway
Abandoned Hatch	Hatch
Simple Iron Door	Iron Door
Enchanted Gate Door	Gate Door
Sturdy Hatch	Hatch door
Castle Iron Door	Iron Door door
Ruined Portcullis	Portcullis
Enchanted Portcullis	Portcullis door
Sturdy Wooden Door	Wooden Door
Ancient Archway	Archway door
Ancient Gate Door	Gate Door door
Village Trapdoor	Trapdoor
Ancient Wooden Door	Wooden Door door
Weathered Blast Door	Blast Door
Sturdy Blast Door	Blast Door door
Simple Trapdoor	Trapdoor door
Sturdy Barricade	Barricade
Abandoned Castle Wall Piece	Castle Wall Piece
Simple Fence	Fence
Enchanted Gate	Gate
Sturdy Castle Wall Piece	Castle Wall Piece wall
Castle Gate	Gate wall
Ruined Ruin Arch	Ruin Arch
Enchanted Ruin Arch	Ruin Arch wall
Sturdy Wall Segment	Wall Segment
Ancient Barricade	Barricade wall
Village Fence	Fence wall
Ancient Railing	Railing
Village Railing	Railing wall
Ancient Wall Segment	Wall Segment wall
Weathered Hedge Fence	Hedge Fence
Sturdy Hedge Fence	Hedge Fence wall
Ancient Castle Wall Piece	Castle Wall Piece
Ancient Gate	Gate
Castle Fence	Fence
Sturdy Gate	Gate wall
Enchanted Barricade	Barricade
Ruined Fence	Fence wall
Castle Ruin Arch	Ruin Arch
Ornate Railing	Railing
Enchanted Wall Segment	Wall Segment
Abandoned Ruin Arch	Ruin Arch wall
Sturdy Palisade	Palisade
Castle Barricade	Barricade wall
Abandoned Wall Segment	Wall Segment wall
Ruined Hedge Fence	Hedge Fence
Simple Palisade	Palisade wall
Castle Hedge Fence	Hedge Fence wall
